text,label
radio ushuaia,radio_ushuaia_beagle
comunicación interceptada,radio_ushuaia_beagle
canal beagle transmisión,radio_ushuaia_beagle
señales de radio extrañas,radio_ushuaia_beagle
quién escuchó el mensaje,radio_ushuaia_beagle
qué encontraron en bariloche,bariloche_flor_negra
qué había en el cuaderno,bariloche_flor_negra
qué es la flor negra,bariloche_flor_negra
dónde crecería la flor negra,bariloche_flor_negra
quién hizo los dibujos,bariloche_flor_negra
existe un cuaderno con ilustraciones,bariloche_flor_negra
qué relación tiene la flor con los lagos,bariloche_flor_negra
dónde apareció el cuaderno,bariloche_flor_negra
qué muestran los dibujos,bariloche_flor_negra
hay registros de una planta extraña,bariloche_flor_negra
qué sabes sobre la flor negra,bariloche_flor_negra
dónde se encontraría esa especie,bariloche_flor_negra
qué contenía el documento,bariloche_flor_negra
cuaderno de bariloche,bariloche_flor_negra
flor negra,bariloche_flor_negra
lagos subglaciales,bariloche_flor_negra
dibujos botánicos,bariloche_flor_negra
planta misteriosa,bariloche_flor_negra
hallazgo en bariloche,bariloche_flor_negra
documento con flores,bariloche_flor_negra
quién es ramírez,ramirez_convoy_santacruz
qué dijo el ingeniero ramírez,ramirez_convoy_santacruz
hubo un convoy misterioso,ramirez_convoy_santacruz
qué transportaba el convoy,ramirez_convoy_santacruz
cuándo ocurrió el traslado,ramirez_convoy_santacruz
dónde pasó el convoy,ramirez_convoy_santacruz
había vehículos sin identificación,ramirez_convoy_santacruz
qué llevaban los contenedores,ramirez_convoy_santacruz
quién vio el convoy,ramirez_convoy_santacruz
qué pasó en santa cruz,ramirez_convoy_santacruz
hubo transporte secreto,ramirez_convoy_santacruz
cuándo atravesó la región,ramirez_convoy_santacruz
qué sabes de los contenedores sellados,ramirez_convoy_santacruz
convoy santa cruz,ramirez_convoy_santacruz
transporte secreto,ramirez_convoy_santacruz
invierno de 1963,ramirez_convoy_santacruz
carga desconocida,ramirez_convoy_santacruz
vehículos sin marcas,ramirez_convoy_santacruz
testimonio de ramírez,ramirez_convoy_santacruz
movimiento sospechoso,ramirez_convoy_santacruz
qué es el proyecto aurora,proyecto_aurora
dónde apareció la carta,proyecto_aurora
qué decía la carta,proyecto_aurora
qué relación tiene aurora con la antártida,proyecto_aurora
qué investigaciones realizaban,proyecto_aurora
hubo documentos sobre zonas polares,proyecto_aurora
quién escribió la carta,proyecto_aurora
qué sabes del proyecto aurora,proyecto_aurora
existían estudios biológicos secretos,proyecto_aurora
dónde se encontró la evidencia,proyecto_aurora
qué tema trataba el documento,proyecto_aurora
había investigaciones en el sur,proyecto_aurora
qué organización estaba involucrada,proyecto_aurora
proyecto aurora,proyecto_aurora
carta de córdoba,proyecto_aurora
investigación polar,proyecto_aurora
documento biológico,proyecto_aurora
biblioteca de córdoba,proyecto_aurora
estudios antárticos,proyecto_aurora
evidencia documental,proyecto_aurora
qué vio el pescador,puerto_deseado_embarcacion
dónde ocurrió el avistamiento,puerto_deseado_embarcacion
había una embarcación sospechosa,puerto_deseado_embarcacion
qué cargaban en el barco,puerto_deseado_embarcacion
la embarcación tenía bandera,puerto_deseado_embarcacion
cuándo sucedió el hecho,puerto_deseado_embarcacion
qué pasó en puerto deseado,puerto_deseado_embarcacion
quién observó el barco,puerto_deseado_embarcacion
había actividad nocturna en el puerto,puerto_deseado_embarcacion
qué transportaban las cajas,puerto_deseado_embarcacion
hubo movimientos clandestinos,puerto_deseado_embarcacion
cómo era la embarcación,puerto_deseado_embarcacion
qué relató el pescador,puerto_deseado_embarcacion
barco sin bandera,puerto_deseado_embarcacion
puerto deseado,puerto_deseado_embarcacion
cajas metálicas,puerto_deseado_embarcacion
noche de niebla,puerto_deseado_embarcacion
carga secreta,puerto_deseado_embarcacion
actividad portuaria extraña,puerto_deseado_embarcacion
avistamiento marítimo,puerto_deseado_embarcacion
qué muestra la fotografía,mendoza_avion_carga
dónde fue encontrada,mendoza_avion_carga
cuántas personas aparecen,mendoza_avion_carga
había un avión en la imagen,mendoza_avion_carga
cuál es la fecha de la foto,mendoza_avion_carga
qué encontraron en mendoza,mendoza_avion_carga
existe evidencia fotográfica,mendoza_avion_carga
quiénes aparecen retratados,mendoza_avion_carga
qué tipo de avión era,mendoza_avion_carga
qué dice el reverso de la foto,mendoza_avion_carga
cuándo fue tomada,mendoza_avion_carga
qué pista aporta la imagen,mendoza_avion_carga
hay registros visuales del grupo,mendoza_avion_carga
fotografía de mendoza,mendoza_avion_carga
avión de carga,mendoza_avion_carga
agosto de 1965,mendoza_avion_carga
imagen antigua,mendoza_avion_carga
cuatro personas,mendoza_avion_carga
evidencia fotográfica,mendoza_avion_carga
foto con fecha,mendoza_avion_carga
quién era ernesto salvatierra,salvatierra_rio_gallegos
qué dice su diario,salvatierra_rio_gallegos
dónde se realizaban reuniones,salvatierra_rio_gallegos
qué ocurría en la estancia,salvatierra_rio_gallegos
había encuentros periódicos,salvatierra_rio_gallegos
con qué frecuencia se reunían,salvatierra_rio_gallegos
qué sabes del diario personal,salvatierra_rio_gallegos
dónde queda la estancia abandonada,salvatierra_rio_gallegos
quiénes participaban de las reuniones,salvatierra_rio_gallegos
qué información dejó salvatierra,salvatierra_rio_gallegos
existían reuniones secretas,salvatierra_rio_gallegos
qué lugar se utilizaba para los encuentros,salvatierra_rio_gallegos
hay registros escritos de reuniones,salvatierra_rio_gallegos
diario de salvatierra,salvatierra_rio_gallegos
estancia abandonada,salvatierra_rio_gallegos
río gallegos reuniones,salvatierra_rio_gallegos
encuentros mensuales,salvatierra_rio_gallegos
registros personales,salvatierra_rio_gallegos
notas de salvatierra,salvatierra_rio_gallegos
reuniones clandestinas,salvatierra_rio_gallegos
qué pasó con la lancha,lancha_desaparecida_orcadas
cuándo desapareció la embarcación,lancha_desaparecida_orcadas
dónde ocurrió el incidente,lancha_desaparecida_orcadas
qué dice el informe de prefectura,lancha_desaparecida_orcadas
hubo una desaparición en el mar,lancha_desaparecida_orcadas
la lancha emitió señales de emergencia,lancha_desaparecida_orcadas
qué sucedió cerca de las islas orcadas,lancha_desaparecida_orcadas
existe un informe oficial,lancha_desaparecida_orcadas
qué tipo de embarcación desapareció,lancha_desaparecida_orcadas
quién investigó el hecho,lancha_desaparecida_orcadas
hubo un accidente marítimo,lancha_desaparecida_orcadas
qué ocurrió en 1967,lancha_desaparecida_orcadas
se perdió una nave de abastecimiento,lancha_desaparecida_orcadas
islas orcadas del sur,lancha_desaparecida_orcadas
informe naval,lancha_desaparecida_orcadas
desaparición de embarcación,lancha_desaparecida_orcadas
prefectura naval,lancha_desaparecida_orcadas
incidente marítimo,lancha_desaparecida_orcadas
lancha desaparecida,lancha_desaparecida_orcadas
señales de emergencia ausentes,lancha_desaparecida_orcadas
no sé que preguntar,otro
cuéntame algo,otro
hola,otro
qué hay de nuevo,otro
no entiendo nada,otro
ayudame,otro
qué hago ahora,otro
no sé por dónde empezar,otro
dime algo interesante,otro
qué debería saber,otro
